layer_id,batch,tiles,status,cycles,energy_pj,mac_pj,buffer_pj,bus_pj,ubuf_pj,K,B,H,W
1,32,2,ok,28901376,13704280235.212803,1065420324.864,12332314784.563202,0,306545125.78560001,1,1,1,2
1,32,3,ok,19353600,13768016350.003201,1070176665.5999999,12395714096.332802,0,302125588.0704,1,1,1,3
1,32,4,ok,14450688,13703333565.235201,1065420324.864,12333223975.3216,0,304689265.04960001,1,1,4,1
1,32,5,ok,11612160,13768085256.192001,1070176665.5999999,12388907685.888002,0,309000904.704,1,1,1,5
1,32,6,ok,9676800,13768242189.926399,1070176665.5999999,12395823405.465599,0,302242118.86080003,1,2,1,3
1,32,7,ok,8257536,13697043186.892801,1065420324.8639998,12330684162.048002,0,300938699.98080003,1,1,1,7
1,32,8,ok,7225344,13698559053.004803,1065420324.864,12332161184.563202,0,300977543.5776,1,1,1,8
1,32,9,ok,6451200,13761985392.2304,1070176665.5999999,12389450076.979198,0,302358649.6512,1,1,1,9
1,32,10,ok,5806080,13767187083.263998,1070176665.5999999,12388786384.896,0,308224032.76800001,1,1,2,5
1,32,11,ok,5419008,14127836446.3104,1098714710.0159998,12718631824.588799,0,310489911.70560002,1,1,1,11
1,32,12,ok,4838400,13768693869.772802,1070176665.5999999,12396042023.731201,0,302475180.44160008,1,4,1,3
1,32,13,ok,4644864,14310116960.255999,1112983732.224,12882538841.702398,0,314594386.32960004,1,1,1,13
1,32,14,ok,4128768,13697570146.7136,1065420324.8639998,12330939216.6912,0,301210605.15840006,1,2,1,7
1,32,15,ok,3870720,13763517511.68,1070176665.5999999,12390749134.848,0,302591711.23200005,1,1,1,15
1,32,16,ok,3612672,13699161292.800001,1065420324.864,12332452675.584002,0,301288292.352,1,2,1,8
1,64,1,ok,115605504,27408334630.502403,2130840649.7279999,24664520259.993603,0,612973720.7808001,1,1,1,1
1,64,2,ok,57802752,27408409910.476807,2130840649.7279999,24664556696.371204,0,613012564.37760007,1,1,1,2
