network=transformer_official_same_source
source_ref=src/nns/transformer.cpp
mode=stage_level
input_blocks=8
scheduled_blocks=66
num_states=131
best_sub_batch=128
sct_solver=ortools-scip
met_solver=ortools-scip
compute_latency=0.041845
compute_energy=0.023764
memory_latency=0.250233
memory_energy=0.035703
latency=0.250233
energy=0.059467
edp=0.014881

states
  idx=0 name=S0 category=warmup active_pe=1 assigned_sub_batches=1 active_blocks=[0]
  idx=1 name=S1 category=warmup active_pe=2 assigned_sub_batches=0 active_blocks=[0, 1]
  idx=2 name=S2 category=warmup active_pe=3 assigned_sub_batches=0 active_blocks=[0, 1, 2]
  idx=3 name=S3 category=warmup active_pe=4 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3]
  idx=50 name=S50 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 48, 49, 50]
  idx=51 name=S51 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 49, 50, 51]
  idx=52 name=S52 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 50, 51, 52]
  idx=53 name=S53 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 51, 52, 53]
  idx=54 name=S54 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 52, 53, 54]
  idx=55 name=S55 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 53, 54, 55]
  idx=56 name=S56 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 54, 55, 56]
  idx=57 name=S57 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 55, 56, 57]
  idx=58 name=S58 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 56, 57, 58]
  idx=59 name=S59 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 57, 58, 59]
  idx=60 name=S60 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 58, 59, 60]
  idx=61 name=S61 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 59, 60, 61]
  idx=62 name=S62 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 60, 61, 62]
  idx=63 name=S63 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 61, 62, 63]
  idx=64 name=S64 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 62, 63, 64]
  idx=65 name=S65 category=steady active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 63, 64, 65]
  idx=66 name=S66 category=drain active_pe=16 assigned_sub_batches=1 active_blocks=[1, 2, 3, 4, '...', 63, 64, 65]
  idx=67 name=S67 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[2, 3, 4, 5, '...', 63, 64, 65]
  idx=68 name=S68 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[3, 4, 5, 6, '...', 63, 64, 65]
  idx=69 name=S69 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[4, 5, 6, 7, '...', 63, 64, 65]
  idx=70 name=S70 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[5, 6, 7, 8, '...', 63, 64, 65]
  idx=71 name=S71 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[6, 7, 8, 9, '...', 63, 64, 65]
  idx=72 name=S72 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[7, 8, 9, 10, '...', 63, 64, 65]
  idx=73 name=S73 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[8, 9, 10, 11, '...', 63, 64, 65]
  idx=74 name=S74 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[9, 10, 11, 12, '...', 63, 64, 65]
  idx=75 name=S75 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[10, 11, 12, 13, '...', 63, 64, 65]
  idx=76 name=S76 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[11, 12, 13, 14, '...', 63, 64, 65]
  idx=77 name=S77 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[12, 13, 14, 15, '...', 63, 64, 65]
  idx=78 name=S78 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[13, 14, 15, 16, '...', 63, 64, 65]
  idx=79 name=S79 category=drain active_pe=16 assigned_sub_batches=0 active_blocks=[14, 15, 16, 17, '...', 63, 64, 65]
